qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,block,row,range,plotNumber,genotype,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,kernelColor,earMass,notes,year,locationYear,environment,sampleID
22-A-1594250,Ames,Ames B1,0,High,250,LC_2231,4,28,60,1594250,MO17,NA,NA,4.836,NA,NA,18,NA,NA,NA,NA,NA,157.6,was intended to be AK-56 but had to replace with filler due to seed amounts;;,2022,2022 Ames,2022 Ames High,NA
22-A-1594251,Ames,Ames B1,0,Medium,150,LC_2232,1,59,4,1594251,29MIBZ2,15.632,NA,3.995,2.444,NA,16,372,21.989,81.8,17.5,NA,101,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594251,Ames,Ames B1,0,Medium,150,LC_2232,1,59,4,1594251,29MIBZ2,13.021,NA,3.71,2.427,NA,14,153,27.516,42.1,14.7,NA,57.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594251,Ames,Ames B1,0,Medium,150,LC_2232,1,59,4,1594251,29MIBZ2,14.687,NA,3.769,2.325,NA,14,271,24.908,67.5,17.6,NA,86.4,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594251,Ames,Ames B1,0,Medium,150,LC_2232,1,59,4,1594251,29MIBZ2,15.492,NA,3.726,2.243,NA,12,211,25.071,52.9,17.8,NA,72.2,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594251,Ames,Ames B1,0,Medium,150,LC_2232,1,59,4,1594251,29MIBZ2,15.148,NA,3.658,2.242,NA,14,186,27.742,51.6,18.2,NA,70.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594251,Ames,Ames B1,0,Medium,150,LC_2232,1,59,4,1594251,29MIBZ2,NA,NA,3.424,NA,NA,10,NA,NA,NA,NA,NA,34.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594252,Ames,Ames B1,0,Medium,150,LC_2232,1,50,4,1594252,F42,10.717,NA,4.517,2.77,NA,18,189,27.884,52.7,14.7,NA,68.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594252,Ames,Ames B1,0,Medium,150,LC_2232,1,50,4,1594252,F42,10.594,NA,4.309,2.711,NA,18,284,23.592,67,14.3,NA,80,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594252,Ames,Ames B1,0,Medium,150,LC_2232,1,50,4,1594252,F42,10.228,NA,4.261,2.617,NA,14,161,27.64,44.5,13.7,NA,57.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594252,Ames,Ames B1,0,Medium,150,LC_2232,1,50,4,1594252,F42,9.914,NA,3.893,2.525,NA,16,122,22.377,27.3,11.3,NA,38.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594252,Ames,Ames B1,0,Medium,150,LC_2232,1,50,4,1594252,F42,13.269,NA,4.278,2.663,NA,18,371,23.073,85.6,19.6,NA,103.7,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594252,Ames,Ames B1,0,Medium,150,LC_2232,1,50,4,1594252,F42,NA,NA,4.369,NA,NA,18,NA,NA,NA,NA,NA,64.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594253,Ames,Ames B1,0,Medium,150,LC_2232,1,58,3,1594253,LH54,18.176,NA,3.522,2.01,NA,8,136,32.5,44.2,19.4,NA,63.6,;;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594253,Ames,Ames B1,0,Medium,150,LC_2232,1,58,3,1594253,LH54,19.418,NA,3.58,2.256,NA,10,139,31.655,44,24.1,NA,68.8,;;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594253,Ames,Ames B1,0,Medium,150,LC_2232,1,58,3,1594253,LH54,17.022,NA,3.457,2.224,NA,10,108,32.593,35.2,19.8,NA,57.1,;;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594253,Ames,Ames B1,0,Medium,150,LC_2232,1,58,3,1594253,LH54,18.32,NA,3.48,1.997,NA,10,133,31.353,41.7,16.9,NA,59.8,;;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594253,Ames,Ames B1,0,Medium,150,LC_2232,1,58,3,1594253,LH54,15.167,NA,3.625,2.269,NA,10,178,36.011,64.1,16.1,NA,81.1,;;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594253,Ames,Ames B1,0,Medium,150,LC_2232,1,58,3,1594253,LH54,NA,NA,3.583,NA,NA,8,NA,NA,NA,NA,NA,56.3,;;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594254,Ames,Ames B1,0,Medium,150,LC_2232,1,55,4,1594254,NC230,9.988,NA,3.645,2.438,NA,12,187,21.925,41,10.2,NA,52.4,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594254,Ames,Ames B1,0,Medium,150,LC_2232,1,55,4,1594254,NC230,12.166,NA,4.329,2.793,NA,14,193,25.596,49.4,18.3,NA,70.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594254,Ames,Ames B1,0,Medium,150,LC_2232,1,55,4,1594254,NC230,NA,NA,4.083,NA,NA,14,NA,NA,NA,NA,NA,78.1,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594255,Ames,Ames B1,0,Medium,150,LC_2232,1,51,3,1594255,A188,12.084,NA,3.335,1.947,NA,10,164,27.866,45.7,8.7,NA,54.3,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594255,Ames,Ames B1,0,Medium,150,LC_2232,1,51,3,1594255,A188,7.549,NA,3.391,1.766,NA,11,131,24.046,31.5,3.5,NA,34.8,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594255,Ames,Ames B1,0,Medium,150,LC_2232,1,51,3,1594255,A188,NA,NA,3.54,NA,NA,10,NA,NA,NA,NA,NA,64.2,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594256,Ames,Ames B1,0,Medium,150,LC_2232,1,56,6,1594256,CI187-2,10.881,NA,3.633,2.366,NA,14,221,19.457,43,6.9,NA,50.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594256,Ames,Ames B1,0,Medium,150,LC_2232,1,56,6,1594256,CI187-2,18.594,NA,4.035,2.559,NA,14,342,25.848,88.4,26.5,NA,116.5,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594256,Ames,Ames B1,0,Medium,150,LC_2232,1,56,6,1594256,CI187-2,NA,NA,3.383,NA,NA,14,NA,NA,NA,NA,NA,51.5,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594257,Ames,Ames B1,0,Medium,150,LC_2232,1,55,5,1594257,NC290A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594258,Ames,Ames B1,0,Medium,150,LC_2232,1,48,3,1594258,NC364,17.001,NA,5.054,2.859,NA,20,520,32.058,NA,31.3,NA,194.3,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594258,Ames,Ames B1,0,Medium,150,LC_2232,1,48,3,1594258,NC364,15.711,NA,5.115,2.823,NA,18,558,32.778,NA,24.3,NA,201.9,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594258,Ames,Ames B1,0,Medium,150,LC_2232,1,48,3,1594258,NC364,11.24,NA,3.368,2.404,NA,14,118,27.119,32,13.5,NA,46.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594258,Ames,Ames B1,0,Medium,150,LC_2232,1,48,3,1594258,NC364,13.515,NA,4.143,2.588,NA,14,243,31.235,75.9,18.7,NA,93.3,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594258,Ames,Ames B1,0,Medium,150,LC_2232,1,48,3,1594258,NC364,9.29,NA,3.428,2.261,NA,14,118,24.492,28.9,8.8,NA,39.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594258,Ames,Ames B1,0,Medium,150,LC_2232,1,48,3,1594258,NC364,NA,NA,3.629,NA,NA,14,NA,NA,NA,NA,NA,55.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594259,Ames,Ames B1,0,Medium,150,LC_2232,1,49,4,1594259,W22,15.34,NA,3.516,2.718,NA,16,70,19.714,13.8,25.2,NA,40.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594259,Ames,Ames B1,0,Medium,150,LC_2232,1,49,4,1594259,W22,13.097,NA,3.585,2.47,NA,12,207,25.894,53.6,17.3,NA,70.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594259,Ames,Ames B1,0,Medium,150,LC_2232,1,49,4,1594259,W22,14.741,NA,3.396,2.616,NA,16,95,22.105,21,24.9,NA,45.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594259,Ames,Ames B1,0,Medium,150,LC_2232,1,49,4,1594259,W22,NA,NA,3.734,NA,NA,18,NA,NA,NA,NA,NA,44.8,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594260,Ames,Ames B1,0,Medium,150,LC_2232,1,48,5,1594260,NC262,8.335,NA,3.547,2.625,NA,14,52,22.308,11.6,8.3,NA,20.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594261,Ames,Ames B1,0,Medium,150,LC_2232,1,56,4,1594261,RS 710,7.432,NA,2.863,1.575,NA,14,131,10.687,14,3.4,NA,17.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594261,Ames,Ames B1,0,Medium,150,LC_2232,1,56,4,1594261,RS 710,9.39,NA,2.915,2.291,NA,14,81,16.42,13.3,6.3,NA,21.1,;Severe bend in cob: String used to measure length;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594261,Ames,Ames B1,0,Medium,150,LC_2232,1,56,4,1594261,RS 710,10.605,NA,2.867,2.281,NA,14,51,19.02,9.7,10.9,NA,21.7,;Seed missing on either side of ear at widest point;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594261,Ames,Ames B1,0,Medium,150,LC_2232,1,56,4,1594261,RS 710,10.292,NA,3.1,2.147,NA,14,83,19.157,15.9,9.7,NA,26.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594261,Ames,Ames B1,0,Medium,150,LC_2232,1,56,4,1594261,RS 710,NA,NA,3.323,NA,NA,14,NA,NA,NA,NA,NA,24.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594262,Ames,Ames B1,0,Medium,150,LC_2232,1,57,4,1594262,MO47,11.942,NA,2.978,2.121,NA,12,72,16.528,11.9,11.5,NA,24.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594262,Ames,Ames B1,0,Medium,150,LC_2232,1,57,4,1594262,MO47,12.353,NA,3.891,2.515,NA,14,138,22.826,31.5,16.8,NA,50.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594262,Ames,Ames B1,0,Medium,150,LC_2232,1,57,4,1594262,MO47,11.439,NA,3.747,2.559,NA,14,152,22.566,34.3,13.8,NA,49.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594262,Ames,Ames B1,0,Medium,150,LC_2232,1,57,4,1594262,MO47,12.335,NA,3.562,2.586,NA,14,158,20,31.6,12.7,NA,45.2,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594262,Ames,Ames B1,0,Medium,150,LC_2232,1,57,4,1594262,MO47,10.623,NA,3.16,1.937,NA,12,142,20.704,29.4,8.5,NA,39.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594262,Ames,Ames B1,0,Medium,150,LC_2232,1,57,4,1594262,MO47,NA,NA,3.321,NA,NA,14,NA,NA,NA,NA,NA,36.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594263,Ames,Ames B1,0,Medium,150,LC_2232,1,47,5,1594263,78010,13.103,NA,4.412,2.793,NA,16,215,31.581,67.9,17.1,NA,85.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594263,Ames,Ames B1,0,Medium,150,LC_2232,1,47,5,1594263,78010,11.751,NA,4.176,2.643,NA,16,172,32.442,55.8,14.2,NA,69.2,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594263,Ames,Ames B1,0,Medium,150,LC_2232,1,47,5,1594263,78010,10.844,NA,3.778,2.468,NA,14,118,24.153,28.5,10,NA,40.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594263,Ames,Ames B1,0,Medium,150,LC_2232,1,47,5,1594263,78010,11.101,NA,3.613,2.323,NA,14,146,25.822,37.7,10.5,NA,49,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594263,Ames,Ames B1,0,Medium,150,LC_2232,1,47,5,1594263,78010,NA,NA,4.342,NA,NA,16,NA,NA,NA,NA,NA,69.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594264,Ames,Ames B1,0,Medium,150,LC_2232,1,54,3,1594264,LH57,8.459,NA,2.864,1.256,NA,10,71,20.423,14.5,2.6,NA,16.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594264,Ames,Ames B1,0,Medium,150,LC_2232,1,54,3,1594264,LH57,12.233,NA,3.244,1.724,NA,10,200,25.65,51.3,4.4,NA,55.9,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594264,Ames,Ames B1,0,Medium,150,LC_2232,1,54,3,1594264,LH57,NA,NA,3.779,NA,NA,12,NA,NA,NA,NA,NA,71.8,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594265,Ames,Ames B1,0,Medium,150,LC_2232,1,51,4,1594265,PHG47,12.314,NA,3.739,2.25,NA,12,227,28.414,64.5,11.2,NA,74.4,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594265,Ames,Ames B1,0,Medium,150,LC_2232,1,51,4,1594265,PHG47,9.35,NA,3.342,1.948,NA,12,158,23.165,36.6,5.7,NA,42.4,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594265,Ames,Ames B1,0,Medium,150,LC_2232,1,51,4,1594265,PHG47,10.228,NA,2.888,1.968,NA,14,101,23.168,23.4,5.6,NA,28.9,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594265,Ames,Ames B1,0,Medium,150,LC_2232,1,51,4,1594265,PHG47,11.556,NA,3.879,2.199,NA,16,284,24.93,70.8,9.9,NA,81.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594265,Ames,Ames B1,0,Medium,150,LC_2232,1,51,4,1594265,PHG47,10.327,NA,3.478,2.175,NA,14,150,23.2,34.8,6.6,NA,42.2,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594265,Ames,Ames B1,0,Medium,150,LC_2232,1,51,4,1594265,PHG47,NA,NA,3.393,NA,NA,14,NA,NA,NA,NA,NA,53.6,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594266,Ames,Ames B1,0,Medium,150,LC_2232,1,56,3,1594266,778,11.742,NA,3.983,2.23,NA,14,211,30.806,65,12.1,NA,77.7,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594266,Ames,Ames B1,0,Medium,150,LC_2232,1,56,3,1594266,778,10.92,NA,4.102,2.226,NA,14,233,27.768,64.7,13.6,NA,78.9,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594266,Ames,Ames B1,0,Medium,150,LC_2232,1,56,3,1594266,778,12.299,NA,4.038,2.373,NA,14,215,27.302,58.7,11.8,NA,70.9,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594266,Ames,Ames B1,0,Medium,150,LC_2232,1,56,3,1594266,778,14.286,NA,4.456,2.382,NA,14,312,30.929,96.5,18.5,NA,114.5,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594266,Ames,Ames B1,0,Medium,150,LC_2232,1,56,3,1594266,778,12.328,NA,4.257,2.372,NA,14,255,30.706,78.3,18.6,NA,97.4,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594266,Ames,Ames B1,0,Medium,150,LC_2232,1,56,3,1594266,778,NA,NA,4.569,NA,NA,12,NA,NA,NA,NA,NA,115.8,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594267,Ames,Ames B1,0,Medium,150,LC_2232,1,58,4,1594267,WIL500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594268,Ames,Ames B1,0,Medium,150,LC_2232,1,53,5,1594268,L127,15.539,NA,4.037,2.575,NA,14,307,28.436,87.3,20.6,NA,106.6,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594268,Ames,Ames B1,0,Medium,150,LC_2232,1,53,5,1594268,L127,15.746,NA,3.739,2.398,NA,12,87,NA,37.6,22.6,NA,60.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594268,Ames,Ames B1,0,Medium,150,LC_2232,1,53,5,1594268,L127,12.792,NA,3.796,2.525,NA,14,246,25.366,62.4,12.8,NA,74.4,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594268,Ames,Ames B1,0,Medium,150,LC_2232,1,53,5,1594268,L127,15.053,NA,4.371,2.789,NA,14,292,29.486,86.1,24.8,NA,109.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594268,Ames,Ames B1,0,Medium,150,LC_2232,1,53,5,1594268,L127,12.841,NA,3.661,2.507,NA,12,194,17.784,34.5,15.4,NA,49.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594268,Ames,Ames B1,0,Medium,150,LC_2232,1,53,5,1594268,L127,NA,NA,4.12,NA,NA,14,NA,NA,NA,NA,NA,86,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594269,Ames,Ames B1,0,Medium,150,LC_2232,1,54,5,1594269,NC360,13.737,NA,3.482,2.41,NA,12,128,31.484,40.3,17.6,NA,58.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594269,Ames,Ames B1,0,Medium,150,LC_2232,1,54,5,1594269,NC360,NA,NA,3.648,NA,NA,14,NA,NA,NA,NA,NA,77.2,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594270,Ames,Ames B1,0,Medium,150,LC_2232,1,59,3,1594270,W117HT,9.505,NA,3.307,2.172,NA,12,46,27.609,12.7,7,NA,19.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594270,Ames,Ames B1,0,Medium,150,LC_2232,1,59,3,1594270,W117HT,8.46,NA,3.241,2.226,NA,12,82,24.39,20,6,NA,26.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594270,Ames,Ames B1,0,Medium,150,LC_2232,1,59,3,1594270,W117HT,10.43,NA,3.599,2.294,NA,14,46,27.174,12.5,9.7,NA,22.2,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594270,Ames,Ames B1,0,Medium,150,LC_2232,1,59,3,1594270,W117HT,NA,NA,3.412,NA,NA,14,NA,NA,NA,NA,NA,24,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594271,Ames,Ames B1,0,Medium,150,LC_2232,1,52,4,1594271,MT42,9.768,NA,2.784,2.104,NA,12,58,30.517,17.7,6.5,NA,24.1,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594271,Ames,Ames B1,0,Medium,150,LC_2232,1,52,4,1594271,MT42,11.348,NA,3.164,2.361,NA,12,164,20.061,32.9,10.9,NA,44,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594271,Ames,Ames B1,0,Medium,150,LC_2232,1,52,4,1594271,MT42,NA,NA,3.146,NA,NA,12,NA,NA,NA,NA,NA,34,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594272,Ames,Ames B1,0,Medium,150,LC_2232,1,49,3,1594272,CM37,12.914,NA,3.636,2.494,NA,12,107,30.561,32.7,15.4,NA,48.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594272,Ames,Ames B1,0,Medium,150,LC_2232,1,49,3,1594272,CM37,NA,NA,4.304,NA,NA,14,NA,NA,NA,NA,NA,90.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594273,Ames,Ames B1,0,Medium,150,LC_2232,1,59,6,1594273,IDS69,12.791,NA,2.68,1.876,NA,14,90,9.778,8.8,9.1,NA,18.8,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594273,Ames,Ames B1,0,Medium,150,LC_2232,1,59,6,1594273,IDS69,12.523,NA,2.834,1.996,NA,14,74,13.919,10.3,9,NA,20.8,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594273,Ames,Ames B1,0,Medium,150,LC_2232,1,59,6,1594273,IDS69,14.786,NA,2.92,2.318,NA,12,238,12.227,29.1,13.2,NA,49.4,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594273,Ames,Ames B1,0,Medium,150,LC_2232,1,59,6,1594273,IDS69,14.011,NA,2.769,2.055,NA,12,290,10.483,30.4,10.5,NA,45.1,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594273,Ames,Ames B1,0,Medium,150,LC_2232,1,59,6,1594273,IDS69,14.436,NA,3.144,2.297,NA,14,247,12.996,32.1,12.8,NA,48.3,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594273,Ames,Ames B1,0,Medium,150,LC_2232,1,59,6,1594273,IDS69,NA,NA,3.057,NA,NA,14,NA,NA,NA,NA,NA,44.5,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594274,Ames,Ames B1,0,Medium,150,LC_2232,1,50,5,1594274,CML220,9.242,NA,4.014,2.631,NA,14,59,25.593,15.1,12.2,NA,28.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594274,Ames,Ames B1,0,Medium,150,LC_2232,1,50,5,1594274,CML220,11.359,NA,4.007,2.672,NA,14,113,32.212,36.4,14.7,NA,51.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594274,Ames,Ames B1,0,Medium,150,LC_2232,1,50,5,1594274,CML220,11.669,NA,4.009,2.724,NA,14,78,33.718,26.3,17.4,NA,43.4,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594274,Ames,Ames B1,0,Medium,150,LC_2232,1,50,5,1594274,CML220,8.906,NA,4.118,2.643,NA,12,74,31.892,23.6,9.8,NA,33,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594274,Ames,Ames B1,0,Medium,150,LC_2232,1,50,5,1594274,CML220,NA,NA,3.723,NA,NA,14,NA,NA,NA,NA,NA,33.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594275,Ames,Ames B1,0,Medium,150,LC_2232,1,58,5,1594275,EP1,NA,NA,2.714,NA,NA,12,NA,NA,NA,NA,NA,10.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594276,Ames,Ames B1,0,Medium,150,LC_2232,1,49,5,1594276,I29,11.137,NA,3.006,2.347,NA,16,154,8.052,12.4,8.2,NA,21.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594276,Ames,Ames B1,0,Medium,150,LC_2232,1,49,5,1594276,I29,7.315,NA,2.691,2.255,NA,16,165,8.788,14.5,5.8,NA,20.6,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594276,Ames,Ames B1,0,Medium,150,LC_2232,1,49,5,1594276,I29,12.902,NA,2.21,1.935,NA,14,88,6.477,5.7,6.1,NA,13.2,;Seed missing on either side of ear at widest point;Severe bend in cob: String used to measure length;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594276,Ames,Ames B1,0,Medium,150,LC_2232,1,49,5,1594276,I29,7.634,NA,2.775,2.031,NA,16,156,7.051,11,3.7,NA,15.8,;Cob broke in pieces;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594276,Ames,Ames B1,0,Medium,150,LC_2232,1,49,5,1594276,I29,7.852,NA,2.771,1.992,NA,14,114,8.246,9.4,4.4,NA,14.3,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594276,Ames,Ames B1,0,Medium,150,LC_2232,1,49,5,1594276,I29,NA,NA,3.058,NA,NA,16,NA,NA,NA,NA,NA,27.5,;;,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594277,Ames,Ames B1,0,Medium,150,LC_2232,1,57,3,1594277,NC302,11.087,NA,3.431,2.18,NA,10,80,30.75,24.6,9.4,NA,35.1,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594277,Ames,Ames B1,0,Medium,150,LC_2232,1,57,3,1594277,NC302,9.141,NA,3.279,2.177,NA,12,34,27.353,9.3,8.4,NA,18,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
22-A-1594277,Ames,Ames B1,0,Medium,150,LC_2232,1,57,3,1594277,NC302,11.839,NA,3.362,2.157,NA,10,76,30.789,23.4,11.9,NA,36,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames Medium,NA
