qrCode,year,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,earWeight,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,notes,harvestDate,locationYear,environment,pedigreeID,resequencingSNPSGenotype
22-A-1593801,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,22,3,22,28,1593801,SC357,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,120,196,4853,12.823,NA,4.085,2.427,NA,15,335,21.702,72.7,90.88,18.18,0.092433333,70.97078944,12.93704252,6.050348056,1.064291921,1.432588917,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,SC357
22-A-1593802,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,23,3,19,29,1593802,TZI16,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,119,203,5074,13.19,NA,3.444,2.306,NA,15.6,104,23.278,24.3,40.2,15.9,0.0918,70.02681033,12.40662045,6.979249076,0.775925499,1.604376577,NA,NA,;;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,Tzi16
22-A-1593803,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,22,3,25,27,1593803,LH208,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,68,196,4853,16.6,NA,4.401,2.603,NA,14.7,396,30.18,119.6,143.5,23.9,0.086866667,77.97909799,9.3387404,4.361733504,0.927609167,1.283272276,NA,NA,;;;;;;;;;x - collect data; but alyze team may need to assess photos;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,LH208
22-A-1593804,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,22,3,23,26,1593804,MO24W,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,109,214,4853,15.876,NA,4.543,2.856,NA,13.3,288,21.3,61.3,98.8,37.5,0.090533333,72.38785199,13.3955964,5.243114812,1.200647237,1.499179534,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,Mo24W
22-A-1593805,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,28,3,26,28,1593805,OH7B,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,100,166,6176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,Oh7B
22-A-1593806,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,29,3,23,28,1593806,R168,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,77,167,6397,14.726,NA,4.073,2.474,NA,15.7,377,22.84,86.2,103.04,16.84,0.091133333,76.40091338,10.29790272,4.059425585,1.105672933,1.355870427,NA,NA,;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,R168
22-A-1593807,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,29,3,19,27,1593807,CI3A,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,90,174,6397,8.812,NA,4.164,2.568,NA,17,167,24.952,41.7,55.76,14.06,0.093333333,70.77881868,14.37065653,4.715895487,2.335614241,1.520606681,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,CI_3A
22-A-1593808,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,27,3,29,27,1593808,B73HTRHM,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,71,199,5956,16.576,NA,4.442,2.796,NA,16.3,534,23.456,125.2,150.28,25.08,0.086466667,77.1320439,10.02986534,4.748494839,0.667584598,1.354112701,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,NA
22-A-1593809,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,25,3,24,28,1593809,CML108,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,80,174,5515,12.178,NA,3.746,2.604,NA,15.3,44,22.414,9.8,22.85,13.05,0.098466667,71.84954592,13.35772,6.430729617,1.451843721,1.611782547,NA,NA,;;;;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML_108
22-A-1593810,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,23,3,21,27,1593810,NC356,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,80,171,5074,10.498,NA,3.363,2.341,NA,11.7,175,20.218,35.3,43.8,8.5,0.099,73.24043013,14.85176347,3.974705915,1.987349539,1.531574148,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,NC356
22-A-1593811,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,20,3,27,27,1593811,MO44,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,79,187,4412,16.078,NA,3.775,2.375,NA,16,341,22.632,77.2,95.72,18.52,0.089066667,73.71662242,11.37646902,5.436187879,0.758998419,1.430197233,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,Mo44
22-A-1593812,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,16,3,19,26,1593812,K4,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,100,196,3529,17.003,NA,3.542,1.936,NA,14,302,21.244,64.2,83.86,19.66,0.082533333,66.50668356,13.60258321,7.119817826,0.970378455,1.50479045,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,K4
22-A-1593813,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,25,3,28,28,1593813,TZI25,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,63,160,5515,13.886,NA,4.027,2.633,NA,12.4,248,26.849,66.5,86,19.5,0.079233333,72.81886142,13.50941109,4.899255154,1.092883709,1.3093261920000001,NA,NA,;;;;;;Sweetcorn;Sweetcorn;;x - collect data; but alyze team may need to assess photos;Sweetcorn;;;,10/23/2022,2022 Ames,2022 Ames High,NA,Tzi25
22-A-1593814,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,26,3,27,26,1593814,T8,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,94,196,5735,17.035,NA,4.354,2.594,NA,14.3,451,28.643,129.2,152.46,23.26,0.0917,77.3323466,9.507218774,4.237971764,1.087136845,1.40196501,NA,NA,;;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames High,NA,T8
22-A-1593815,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,21,3,20,29,1593815,MO45,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,95,169,4632,15.755,NA,3.998,2.574,NA,15.3,312,16.912,52.8,71.6,18.8,0.0785,68.55009861,12.69867045,5.11884569,2.402310354,1.307182044,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames High,NA,Mo45
22-A-1593816,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,23,3,24,27,1593816,MS71,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,71,164,5074,13.226,NA,3.959,2.387,NA,15.3,308,23.494,72.4,90.04,17.64,0.080933333,77.22014298,10.38652618,3.914717287,1.227297309,1.16018625,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,MS71
22-A-1593817,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,12,3,17,29,1593817,PA91,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,59,150,2647,15.344,NA,4.121,2.514,NA,14.7,NA,NA,NA,NA,20.82,0.078033333,68.46494929,16.39952989,6.203375852,1.819688886,1.654841025,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,Pa91
22-A-1593818,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,23,3,22,29,1593818,4676A,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,62,174,5074,14.855,NA,4.069,2.342,NA,14,331,23.204,76.8,90.42,13.62,0.093766667,75.01598508,12.03746358,4.98820081,1.120371507,1.453062221,NA,NA,;;;;;;;;x - collect data; but alyze team may need to assess photos;;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,DK4676A
22-A-1593819,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,26,3,17,27,1593819,CML103,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,92,156,5735,15.62,NA,3.859,2.62,NA,13.3,NA,NA,NA,NA,19.8,0.082333333,68.46826789,15.91093422,7.244602166,1.551047943,1.769500709,NA,NA,;;;;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,NA
22-A-1593820,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,35,3,17,28,1593820,CML281,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML281
22-A-1593821,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,21,3,26,27,1593821,CML333,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,130,199,4632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML333
22-A-1593822,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,25,3,21,29,1593822,D940Y,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,82,161,5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames High,NA,D940Y
22-A-1593823,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,23,3,18,29,1593823,M37W,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,50,129,5074,NA,NA,2.884,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,M37W
22-A-1593824,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,26,3,25,28,1593824,NC294,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,85,186,5735,13.682,NA,3.998,2.457,NA,17,344,21.174,72.9,89.24,16.34,0.076766667,75.40323342,8.850230969,5.088148491,0.898964675,1.14188729,NA,NA,;;;;;;;;;x - collect data; but alyze team may need to assess photos;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,NC294
22-A-1593825,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,17,3,18,28,1593825,SC55,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,101,180,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames High,NA,SC55
22-A-1593826,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,26,3,18,27,1593826,OS420,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,69,151,5735,17.734,NA,4.536,2.505,NA,14.7,468,27.485,128.7,156.24,27.54,0.094566667,75.60249817,11.25802435,4.761635447,1.212277287,1.431227756,NA,NA,;;;;;;;;;;;Sweetcorn;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,Os420
22-A-1593827,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,20,3,22,26,1593827,LH213,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,75,167,4412,13.746,NA,3.88,2.24,NA,14,332,25.887,85.9,97.42,11.52,0.101066667,77.65317916,11.00627244,4.319080083,1.27876998,1.460482877,NA,NA,;;x - seed spilled during shelling;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,LH213
22-A-1593828,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,22,3,21,28,1593828,NC250,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,77,202,4853,14.67,NA,4.202,2.588,NA,13.3,319,27.6,88.1,109.14,21.04,0.094766667,74.49752267,11.92345852,4.638394701,1.490622111,1.390992734,NA,NA,;;;;;;;;;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,NC250
22-A-1593829,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,18,3,28,27,1593829,CML254,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,132,205,3971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML_254
22-A-1593830,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,26,3,20,27,1593830,CML277,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,104,173,5735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML_277
22-A-1593831,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,20,3,22,27,1593831,LH150,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,82,175,4412,12.724,NA,4.582,2.703,NA,17,255,32.473,82.7,103.48,20.78,0.099233333,78.57370771,9.383292432,4.256034274,1.211914836,1.474849977,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,LH150
22-A-1593832,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,23,3,21,26,1593832,5707,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,99,204,5074,19.001,NA,4.179,2.595,NA,13.3,441,30.549,134.7,160.12,25.42,0.098533333,75.12967913,11.7927462,4.351735661,1.291982031,1.52990932,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,AS5707
22-A-1593833,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,27,3,25,26,1593833,NC300,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,81,185,5956,15.156,NA,3.516,2.31,NA,11.7,161,25.386,40.9,51.54,10.64,0.0843,73.19337837,11.26210993,5.307047148,2.075078775,1.47086338,NA,NA,;;;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames High,NA,NC300
22-A-1593834,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,22,3,20,26,1593834,KI14,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,144,210,4853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames High,NA,Ki14
22-A-1593835,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,24,3,26,26,1593835,CML69,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,75,160,5294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML69
22-A-1593836,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,25,3,24,29,1593836,NC258,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,66,148,5515,11.964,NA,4.02,2.725,NA,15,263,22.487,59.2,76.62,17.42,0.0806,71.95486999,11.50283631,5.733747574,0.414035725,1.29343312,NA,NA,;;;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,NC258
22-A-1593837,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,25,3,28,26,1593837,LH123HT,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,97,201,5515,11.87,NA,4.08,2.562,NA,12.7,310,23.738,73.6,89.14,15.54,0.0847,73.90524262,12.0861926,4.017707803,1.515626511,1.277131943,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,LH123HT
22-A-1593838,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,25,3,17,26,1593838,TZI11,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,125,213,5515,NA,NA,3.232,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;Seed missing on either side of ear at widest point;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,Tzi11
22-A-1593839,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,27,3,29,28,1593839,A661,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,75,147,5956,10.36,NA,3.726,2.682,NA,16,253,16.96,42.9,55.06,12.16,0.0869,71.8351084,13.91689844,4.741747622,1.67933164,1.499237491,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,A661
22-A-1593840,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,28,3,24,26,1593840,B73,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,104,186,6176,12.317,NA,4.188,2.733,NA,15.3,305,21.28,64.8,81.54,16.74,0.077833333,77.38021343,7.917804784,4.934909237,0.791758142,1.207282155,NA,NA,Check;;;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames High,NA,B73
22-A-1593841,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,25,3,23,27,1593841,B73,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,93,188,5515,12.679,NA,4.349,2.789,NA,17,381,21.181,80.7,100.18,19.48,0.0893,76.67675462,9.89497232,4.255793303,0.755809405,1.342357791,NA,NA,Check;;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,B73
22-A-1593842,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,27,3,20,28,1593842,B73,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,102,191,5956,12.475,NA,4.28,2.609,NA,16.7,318,21.893,69.6,85.94,16.34,0.0839,76.23349752,8.864870398,3.709061531,1.378306588,1.231204716,NA,NA,Check;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,B73
22-A-1593843,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,26,3,18,26,1593843,B73,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,104,192,5735,13.387,NA,4.416,2.507,NA,16.7,398,23.724,94.4,114.56,20.16,0.0903,76.51858017,8.946160255,4.741053906,1.248631702,1.389648431,NA,NA,Check;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,B73
22-A-1593844,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,28,3,19,28,1593844,B73,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,96,177,6176,12.553,NA,4.149,2.414,NA,15.7,296,21.669,64.1,81.7,17.6,0.096433333,76.96436359,9.979104432,4.360680911,1.559933347,1.388152377,NA,NA,Check;;;;;;;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,B73
22-A-1593845,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,31,3,21,30,1593845,38-11,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,96,191,6838,14.297,NA,3.686,2.311,NA,15.4,230,20.719,47.5,62.5,15,0.0827,65.44177284,16.48689811,6.101459007,1.572456791,1.537123519,NA,NA,;;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,38.11
22-A-1593846,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,28,3,26,29,1593846,CML92,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,105,202,6176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML92
22-A-1593847,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,17,3,17,31,1593847,CI.7,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,85,171,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames High,NA,Ci7Goodman.Buckler
22-A-1593848,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,24,3,23,31,1593848,4226,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,93,208,5294,15.123,NA,4.24,2.558,NA,14.3,392,25.831,101.4,124.74,23.34,0.090166667,74.3695636,11.56555514,4.652222237,1.01588875,1.316551837,NA,NA,;;;;;;;;;x - collect data; but alyze team may need to assess photos;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,4226
22-A-1593849,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,23,3,24,30,1593849,A441-5,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,99,189,5074,13.956,NA,4.254,2.645,NA,13.3,377,27.389,103.3,123.98,20.68,0.089033333,77.30607536,10.60422088,4.193136229,0.638803602,1.34557871,NA,NA,;;;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,A441.5
22-A-1593850,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,16,3,23,30,1593850,CML10,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,143,190,3529,NA,NA,2.871,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;x -set asside;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML10
22-A-1593851,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,20,3,17,30,1593851,CML321,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,68,173,4412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML321
22-A-1593852,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,17,3,26,30,1593852,KY226,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,103,171,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,Ky226
22-A-1593853,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,21,3,22,31,1593853,SG18,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,90,190,4632,15.696,NA,3.844,2.289,NA,15.3,409,22.355,91.4,110.66,19.26,0.0989,75.85961746,11.84781029,4.105107104,1.071540853,1.309576979,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,Sg_18
22-A-1593854,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,27,3,27,29,1593854,R109B,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,106,201,5956,16.193,NA,4.273,2.559,NA,14,453,24.537,111.1,131.46,20.36,0.088933333,76.38912807,9.706322826,4.618830439,1.357668628,1.356930607,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,NA
22-A-1593855,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,29,3,25,31,1593855,CML52,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,104,175,6397,NA,NA,2.533,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML_52
22-A-1593856,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,9,3,25,30,1593856,CML287,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,132,236,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,CML_287
22-A-1593857,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,29,3,26,31,1593857,B75,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,89,195,6397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,B75
22-A-1593858,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,9,3,27,31,1593858,TX601,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,118,210,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;;;,10/23/2022,2022 Ames,2022 Ames High,NA,Tx601
